ID,LID,Width,Color,type,LinkID
71,12242,0.05,W,1,0
72,12243,0.05,W,1,0
73,12244,0.05,W,1,0
74,12245,0.05,W,1,0
75,12246,0.05,W,1,0
76,12247,0.05,W,1,0
77,12248,0.05,W,1,0
78,12249,0.05,W,1,0
79,12250,0.05,W,1,0
80,12251,0.05,W,1,0
81,12252,0.05,W,1,0
82,12253,0.05,W,1,0
83,12254,0.05,W,1,0
84,12255,0.05,W,1,0
85,12256,0.05,W,1,0
86,12257,0.05,W,1,0
87,12258,0.05,W,1,0
88,12259,0.05,W,1,0
89,12260,0.05,W,1,0
90,12261,0.05,W,1,0
91,12262,0.05,W,1,0
92,12263,0.05,W,1,0
93,12264,0.05,W,1,0
94,12265,0.05,W,1,0
95,12266,0.05,W,1,0
96,12267,0.05,W,1,0
97,12268,0.05,W,1,0
98,12269,0.05,W,1,0
99,12270,0.05,W,1,0
100,12271,0.05,W,1,0
101,12272,0.05,W,1,0
102,12273,0.05,W,1,0
103,12274,0.05,W,1,0
104,12275,0.05,W,1,0
105,12276,0.05,W,1,0
106,12277,0.05,W,1,0
107,12278,0.05,W,1,0
108,12279,0.05,W,1,0
109,12280,0.05,W,1,0
110,12281,0.05,W,1,0
111,12282,0.05,W,1,0
112,12283,0.05,W,1,0
113,12284,0.05,W,1,0
114,12285,0.05,W,1,0
115,12286,0.05,W,1,0
116,12287,0.05,W,1,0
117,12288,0.05,W,1,0
118,12289,0.05,W,1,0
119,12290,0.05,W,1,0
120,12291,0.05,W,1,0
121,12292,0.05,W,1,0
122,12293,0.05,W,1,0
123,12294,0.05,W,1,0
124,12295,0.05,W,1,0
125,12296,0.05,W,1,0
126,12297,0.05,W,1,0
127,12298,0.05,W,1,0
128,12299,0.05,W,1,0
129,12300,0.05,W,1,0
130,12301,0.05,W,1,0
131,12302,0.05,W,1,0
132,12303,0.05,W,1,0
133,12304,0.05,W,1,0
134,12305,0.05,W,1,0
135,12306,0.05,W,1,0
136,12307,0.05,W,1,0
137,12308,0.05,W,1,0
138,12309,0.05,W,1,0
139,12310,0.05,W,1,0
140,12311,0.05,W,1,0
141,12312,0.05,W,1,0
142,12313,0.05,W,1,0
143,12314,0.05,W,1,0
144,12315,0.05,W,1,0
145,12316,0.05,W,1,0
146,12317,0.05,W,1,0
147,12318,0.05,W,1,0
148,12319,0.05,W,1,0
149,12320,0.05,W,1,0
150,12321,0.05,W,1,0
151,12322,0.05,W,1,0
152,12323,0.05,W,1,0
153,12324,0.05,W,1,0
154,12325,0.05,W,1,0
155,12326,0.05,W,1,0
156,12327,0.05,W,1,0
157,12328,0.05,W,1,0
158,12329,0.05,W,1,0
159,12330,0.05,W,1,0
160,12331,0.05,W,1,0
161,12332,0.05,W,1,0
162,12333,0.05,W,1,0
163,12334,0.05,W,1,0
164,12335,0.05,W,1,0
165,12336,0.05,W,1,0
166,12337,0.05,W,1,0
167,12338,0.05,W,1,0
168,12339,0.05,W,1,0
169,12340,0.05,W,1,0
170,12341,0.05,W,1,0
171,12342,0.05,W,1,0
172,12343,0.05,W,1,0
173,12344,0.05,W,1,0
174,12345,0.05,W,1,0
175,12346,0.05,W,1,0
176,12347,0.05,W,1,0
177,12348,0.05,W,1,0
178,12349,0.05,W,1,0
179,12350,0.05,W,1,0
180,12351,0.05,W,1,0
181,12352,0.05,W,1,0
182,12353,0.05,W,1,0
183,12354,0.05,W,1,0
184,12355,0.05,W,1,0
185,12356,0.05,W,1,0
186,12357,0.05,W,1,0
187,12358,0.05,W,1,0
188,12359,0.05,W,1,0
189,12360,0.05,W,1,0
190,12361,0.05,W,1,0
191,12362,0.05,W,1,0
192,12363,0.05,W,1,0
193,12364,0.05,W,1,0
194,12365,0.05,W,1,0
195,12366,0.05,W,1,0
196,12367,0.05,W,1,0
197,12368,0.05,W,1,0
198,12369,0.05,W,1,0
199,12370,0.05,W,1,0
200,12371,0.05,W,1,0
201,12372,0.05,W,1,0
202,12373,0.05,W,1,0
203,12374,0.05,W,1,0
204,12375,0.05,W,1,0
205,12376,0.05,W,1,0
206,12377,0.05,W,1,0
207,12378,0.05,W,1,0
208,12379,0.05,W,1,0
209,12380,0.05,W,1,0
210,12381,0.05,W,1,0
211,12382,0.05,W,1,0
212,12383,0.05,W,1,0
213,12384,0.05,W,1,0
214,12385,0.05,W,1,0
215,12386,0.05,W,1,0
216,12387,0.05,W,1,0
217,12388,0.05,W,1,0
218,12389,0.05,W,1,0
219,12390,0.05,W,1,0
220,12391,0.05,W,1,0
221,12392,0.05,W,1,0
222,12393,0.05,W,1,0
223,12394,0.05,W,1,0
224,12395,0.05,W,1,0
225,12396,0.05,W,1,0
226,12397,0.05,W,1,0
227,12398,0.05,W,1,0
228,12399,0.05,W,1,0
229,12400,0.05,W,1,0
230,12401,0.05,W,1,0
231,12402,0.05,W,1,0
232,12403,0.05,W,1,0
233,12404,0.05,W,1,0
234,12405,0.05,W,1,0
235,12406,0.05,W,1,0
236,12407,0.05,W,1,0
237,12408,0.05,W,1,0
238,12409,0.05,W,1,0
239,12410,0.05,W,1,0
240,12411,0.05,W,1,0
241,12412,0.05,W,1,0
242,12413,0.05,W,1,0
243,12414,0.05,W,1,0
244,12415,0.05,W,1,0
245,12416,0.05,W,1,0
246,12417,0.05,W,1,0
247,12418,0.05,W,1,0
248,12419,0.05,W,1,0
249,12420,0.05,W,1,0
250,12421,0.05,W,1,0
251,12422,0.05,W,1,0
252,12423,0.05,W,1,0
253,12424,0.05,W,1,0
254,12425,0.05,W,1,0
255,12426,0.05,W,1,0
256,12427,0.05,W,1,0
257,12428,0.05,W,1,0
258,12429,0.05,W,1,0
259,12430,0.05,W,1,0
260,12431,0.05,W,1,0
261,12432,0.05,W,1,0
262,12433,0.05,W,1,0
263,12434,0.05,W,1,0
264,12435,0.05,W,1,0
265,12436,0.05,W,1,0
266,12437,0.05,W,1,0
267,12438,0.05,W,1,0
268,12439,0.05,W,1,0
269,12440,0.05,W,1,0
270,12441,0.05,W,1,0
271,12442,0.05,W,1,0
272,12443,0.05,W,1,0
273,12444,0.05,W,1,0
274,12445,0.05,W,1,0
275,12446,0.05,W,1,0
276,12447,0.05,W,1,0
277,12448,0.05,W,1,0
278,12449,0.05,W,1,0
279,12450,0.05,W,1,0
280,12451,0.05,W,1,0
281,12452,0.05,W,1,0
282,12453,0.05,W,1,0
283,12454,0.05,W,1,0
284,12455,0.05,W,1,0
285,12456,0.05,W,1,0
286,12457,0.05,W,1,0
287,12458,0.05,W,1,0
288,12459,0.05,W,1,0
289,12460,0.05,W,1,0
290,12461,0.05,W,1,0
291,12462,0.05,W,1,0
292,12463,0.05,W,1,0
293,12464,0.05,W,1,0
294,12465,0.05,W,1,0
295,12466,0.05,W,1,0
296,12467,0.05,W,1,0
297,12468,0.05,W,1,0
298,12469,0.05,W,1,0
299,12470,0.05,W,1,0
300,12471,0.05,W,1,0
301,12472,0.05,W,1,0
302,12473,0.05,W,1,0
303,12474,0.05,W,1,0
304,12475,0.05,W,1,0
305,12476,0.05,W,1,0
306,12477,0.05,W,1,0
307,12478,0.05,W,1,0
308,12479,0.05,W,1,0
309,12480,0.05,W,1,0
310,12481,0.05,W,1,0
311,12482,0.05,W,1,0
312,12483,0.05,W,1,0
313,12484,0.05,W,1,0
314,12485,0.05,W,1,0
315,12486,0.05,W,1,0
316,12487,0.05,W,1,0
317,12488,0.05,W,1,0
318,12489,0.05,W,1,0
319,12490,0.05,W,1,0
320,12491,0.05,W,1,0
321,12492,0.05,W,1,0
322,12493,0.05,W,1,0
323,12494,0.05,W,1,0
324,12495,0.05,W,1,0
325,12496,0.05,W,1,0
326,12497,0.05,W,1,0
327,12498,0.05,W,1,0
328,12499,0.05,W,1,0
329,12500,0.05,W,1,0
330,12501,0.05,W,1,0
331,12502,0.05,W,1,0
332,12503,0.05,W,1,0
333,12504,0.05,W,1,0
334,12505,0.05,W,1,0
335,12506,0.05,W,1,0
336,12507,0.05,W,1,0
337,12508,0.05,W,1,0
338,12509,0.05,W,1,0
339,12510,0.05,W,1,0
340,12511,0.05,W,1,0
341,12512,0.05,W,1,0
342,12513,0.05,W,1,0
343,12514,0.05,W,1,0
344,12515,0.05,W,1,0
345,12516,0.05,W,1,0
346,12517,0.05,W,1,0
347,12518,0.05,W,1,0
348,12519,0.05,W,1,0
349,12520,0.05,W,1,0
350,12521,0.05,W,1,0
351,12522,0.05,W,1,0
352,12523,0.05,W,1,0
353,12524,0.05,W,1,0
354,12525,0.05,W,1,0
355,12526,0.05,W,1,0
356,12527,0.05,W,1,0
357,12528,0.05,W,1,0
358,12529,0.05,W,1,0
359,12530,0.05,W,1,0
360,12531,0.05,W,1,0
361,12532,0.05,W,1,0
362,12533,0.05,W,1,0
363,12534,0.05,W,1,0
364,12535,0.05,W,1,0
365,12536,0.05,W,1,0
366,12537,0.05,W,1,0
367,12538,0.05,W,1,0
368,12539,0.05,W,1,0
369,12540,0.05,W,1,0
370,12541,0.05,W,1,0
371,12542,0.05,W,1,0
372,12543,0.05,W,1,0
373,12544,0.05,W,1,0
374,12545,0.05,W,1,0
375,12546,0.05,W,1,0
376,12547,0.05,W,1,0
377,12548,0.05,W,1,0
378,12549,0.05,W,1,0
379,12550,0.05,W,1,0
380,12551,0.05,W,1,0
381,12552,0.05,W,1,0
382,12553,0.05,W,1,0
383,12554,0.05,W,1,0
384,12555,0.05,W,1,0
385,12556,0.05,W,1,0
386,12557,0.05,W,1,0
387,12558,0.05,W,1,0
388,12559,0.05,W,1,0
389,12560,0.05,W,1,0
390,12561,0.05,W,1,0
391,12562,0.05,W,1,0
392,12563,0.05,W,1,0
393,12564,0.05,W,1,0
394,12565,0.05,W,1,0
395,12566,0.05,W,1,0
396,12567,0.05,W,1,0
397,12568,0.05,W,1,0
398,12569,0.05,W,1,0
399,12570,0.05,W,1,0
400,12571,0.05,W,1,0
401,12572,0.05,W,1,0
402,12573,0.05,W,1,0
403,12574,0.05,W,1,0
404,12575,0.05,W,1,0
405,12576,0.05,W,1,0
406,12577,0.05,W,1,0
407,12578,0.05,W,1,0
408,12579,0.05,W,1,0
409,12580,0.05,W,1,0
410,12581,0.05,W,1,0
411,12582,0.05,W,1,0
412,12583,0.05,W,1,0
413,12584,0.05,W,1,0
414,12585,0.05,W,1,0
415,12586,0.05,W,1,0
416,12587,0.05,W,1,0
417,12588,0.05,W,1,0
418,12589,0.05,W,1,0
419,12590,0.05,W,1,0
420,12591,0.05,W,1,0
421,12592,0.05,W,1,0
422,12593,0.05,W,1,0
423,12594,0.05,W,1,0
424,12595,0.05,W,1,0
425,12596,0.05,W,1,0
426,12597,0.05,W,1,0
427,12598,0.05,W,1,0
428,12599,0.05,W,1,0
429,12600,0.05,W,1,0
430,12601,0.05,W,1,0
431,12602,0.05,W,1,0
432,12603,0.05,W,1,0
433,12604,0.05,W,1,0
434,12605,0.05,W,1,0
435,12606,0.05,W,1,0
436,12607,0.05,W,1,0
437,12608,0.05,W,1,0
438,12609,0.05,W,1,0
439,12610,0.05,W,1,0
440,12611,0.05,W,1,0
441,12612,0.05,W,1,0
442,12613,0.05,W,1,0
443,12614,0.05,W,1,0
444,12615,0.05,W,1,0
445,12616,0.05,W,1,0
446,12617,0.05,W,1,0
447,12618,0.05,W,1,0
448,12619,0.05,W,1,0
449,12620,0.05,W,1,0
450,12621,0.05,W,1,0
451,12622,0.05,W,1,0
452,12623,0.05,W,1,0
453,12624,0.05,W,1,0
454,12625,0.05,W,1,0
455,12626,0.05,W,1,0
456,12627,0.05,W,1,0
457,12628,0.05,W,1,0
458,12629,0.05,W,1,0
459,12630,0.05,W,1,0
460,12631,0.05,W,1,0
461,12632,0.05,W,1,0
462,12633,0.05,W,1,0
463,12634,0.05,W,1,0
464,12635,0.05,W,1,0
465,12636,0.05,W,1,0
466,12637,0.05,W,1,0
467,12638,0.05,W,1,0
468,12639,0.05,W,1,0
469,12640,0.05,W,1,0
470,12641,0.05,W,1,0
471,12642,0.05,W,1,0
472,12643,0.05,W,1,0
473,12644,0.05,W,1,0
474,12645,0.05,W,1,0
475,12646,0.05,W,1,0
476,12647,0.05,W,1,0
477,12648,0.05,W,1,0
478,12649,0.05,W,1,0
479,12650,0.05,W,1,0
480,12651,0.05,W,1,0
481,12652,0.05,W,1,0
482,12653,0.05,W,1,0
483,12654,0.05,W,1,0
484,12655,0.05,W,1,0
485,12656,0.05,W,1,0
486,12657,0.05,W,1,0
487,12658,0.05,W,1,0
488,12659,0.05,W,1,0
489,12660,0.05,W,1,0
490,12661,0.05,W,1,0
491,12662,0.05,W,1,0
492,12663,0.05,W,1,0
493,12664,0.05,W,1,0
494,12665,0.05,W,1,0
495,12666,0.05,W,1,0
496,12667,0.05,W,1,0
497,12668,0.05,W,1,0
498,12669,0.05,W,1,0
499,12670,0.05,W,1,0
500,12671,0.05,W,1,0
501,12672,0.05,W,1,0
502,12673,0.05,W,1,0
503,12674,0.05,W,1,0
504,12675,0.05,W,1,0
505,12676,0.05,W,1,0
506,12677,0.05,W,1,0
507,12678,0.05,W,1,0
508,12679,0.05,W,1,0
509,12680,0.05,W,1,0
510,12681,0.05,W,1,0
511,12682,0.05,W,1,0
512,12683,0.05,W,1,0
513,12684,0.05,W,1,0
514,12685,0.05,W,1,0
515,12686,0.05,W,1,0
516,12687,0.05,W,1,0
517,12688,0.05,W,1,0
518,12689,0.05,W,1,0
519,12690,0.05,W,1,0
520,12691,0.05,W,1,0
521,12692,0.05,W,1,0
522,12693,0.05,W,1,0
523,12694,0.05,W,1,0
524,12695,0.05,W,1,0
525,12696,0.05,W,1,0
526,12697,0.05,W,1,0
527,12698,0.05,W,1,0
528,12699,0.05,W,1,0
529,12700,0.05,W,1,0
530,12701,0.05,W,1,0
531,12702,0.05,W,1,0
532,12703,0.05,W,1,0
533,12704,0.05,W,1,0
534,12705,0.05,W,1,0
535,12706,0.05,W,1,0
536,12707,0.05,W,1,0
537,12708,0.05,W,1,0
538,12709,0.05,W,1,0
539,12710,0.05,W,1,0
540,12711,0.05,W,1,0
541,12712,0.05,W,1,0
542,12713,0.05,W,1,0
543,12714,0.05,W,1,0
544,12715,0.05,W,1,0
545,12716,0.05,W,1,0
546,12717,0.05,W,1,0
547,12718,0.05,W,1,0
548,12719,0.05,W,1,0
549,12720,0.05,W,1,0
550,12721,0.05,W,1,0
551,12722,0.05,W,1,0
552,12723,0.05,W,1,0
553,12724,0.05,W,1,0
554,12725,0.05,W,1,0
555,12726,0.05,W,1,0
556,12727,0.05,W,1,0
557,12728,0.05,W,1,0
558,12729,0.05,W,1,0
559,12730,0.05,W,1,0
560,12731,0.05,W,1,0
561,12732,0.05,W,1,0
562,12733,0.05,W,1,0
563,12734,0.05,W,1,0
564,12735,0.05,W,1,0
565,12736,0.05,W,1,0
566,12737,0.05,W,1,0
567,12738,0.05,W,1,0
568,12739,0.05,W,1,0
569,12740,0.05,W,1,0
570,12741,0.05,W,1,0
571,12742,0.05,W,1,0
572,12743,0.05,W,1,0
573,12744,0.05,W,1,0
574,12745,0.05,W,1,0
575,12746,0.05,W,1,0
576,12747,0.05,W,1,0
577,12748,0.05,W,1,0
578,12749,0.05,W,1,0
579,12750,0.05,W,1,0
580,12751,0.05,W,1,0
581,12752,0.05,W,1,0
582,12753,0.05,W,1,0
583,12754,0.05,W,1,0
584,12755,0.05,W,1,0
585,12756,0.05,W,1,0
586,12757,0.05,W,1,0
587,12758,0.05,W,1,0
588,12759,0.05,W,1,0
589,12760,0.05,W,1,0
590,12761,0.05,W,1,0
591,12762,0.05,W,1,0
592,12763,0.05,W,1,0
593,12764,0.05,W,1,0
594,12765,0.05,W,1,0
595,12766,0.05,W,1,0
596,12767,0.05,W,1,0
597,12768,0.05,W,1,0
598,12769,0.05,W,1,0
599,12770,0.05,W,1,0
600,12771,0.05,W,1,0
601,12772,0.05,W,1,0
602,12773,0.05,W,1,0
603,12774,0.05,W,1,0
604,12775,0.05,W,1,0
605,12776,0.05,W,1,0
606,12777,0.05,W,1,0
607,12778,0.05,W,1,0
608,12779,0.05,W,1,0
609,12780,0.05,W,1,0
610,12781,0.05,W,1,0
611,12782,0.05,W,1,0
612,12783,0.05,W,1,0
613,12784,0.05,W,1,0
614,12785,0.05,W,1,0
615,12786,0.05,W,1,0
616,12787,0.05,W,1,0
617,12788,0.05,W,1,0
618,12789,0.05,W,1,0
619,12790,0.05,W,1,0
620,12791,0.05,W,1,0
621,12792,0.05,W,1,0
622,12793,0.05,W,1,0
623,12794,0.05,W,1,0
624,12795,0.05,W,1,0
625,12796,0.05,W,1,0
626,12797,0.05,W,1,0
627,12798,0.05,W,1,0
628,12799,0.05,W,1,0
629,12800,0.05,W,1,0
630,12801,0.05,W,1,0
631,12802,0.05,W,1,0
632,12803,0.05,W,1,0
633,12804,0.05,W,1,0
634,12805,0.05,W,1,0
635,12806,0.05,W,1,0
636,12807,0.05,W,1,0
637,12808,0.05,W,1,0
638,12809,0.05,W,1,0
639,12810,0.05,W,1,0
640,12811,0.05,W,1,0
641,12812,0.05,W,1,0
642,12813,0.05,W,1,0
643,12814,0.05,W,1,0
644,12815,0.05,W,1,0
645,12816,0.05,W,1,0
646,12817,0.05,W,1,0
647,12818,0.05,W,1,0
648,12819,0.05,W,1,0
649,12820,0.05,W,1,0
650,12821,0.05,W,1,0
651,12822,0.05,W,1,0
652,12823,0.05,W,1,0
653,12824,0.05,W,1,0
654,12825,0.05,W,1,0
655,12826,0.05,W,1,0
656,12827,0.05,W,1,0
657,12828,0.05,W,1,0
658,12829,0.05,W,1,0
659,12830,0.05,W,1,0
660,12831,0.05,W,1,0
661,12832,0.05,W,1,0
662,12833,0.05,W,1,0
663,12834,0.05,W,1,0
664,12835,0.05,W,1,0
665,12836,0.05,W,1,0
666,12837,0.05,W,1,0
667,12838,0.05,W,1,0
668,12839,0.05,W,1,0
669,12840,0.05,W,1,0
670,12841,0.05,W,1,0
671,12842,0.05,W,1,0
672,12843,0.05,W,1,0
673,12844,0.05,W,1,0
674,12845,0.05,W,1,0
675,12846,0.05,W,1,0
676,12847,0.05,W,1,0
677,12848,0.05,W,1,0
678,12849,0.05,W,1,0
679,12850,0.05,W,1,0
680,12851,0.05,W,1,0
681,12852,0.05,W,1,0
682,12853,0.05,W,1,0
683,12854,0.05,W,1,0
684,12855,0.05,W,1,0
685,12856,0.05,W,1,0
686,12857,0.05,W,1,0
687,12858,0.05,W,1,0
688,12859,0.05,W,1,0
689,12860,0.05,W,1,0
690,12861,0.05,W,1,0
691,12862,0.05,W,1,0
692,12863,0.05,W,1,0
693,12864,0.05,W,1,0
694,12865,0.05,W,1,0
695,12866,0.05,W,1,0
696,12867,0.05,W,1,0
697,12868,0.05,W,1,0
698,12869,0.05,W,1,0
699,12870,0.05,W,1,0
700,12871,0.05,W,1,0
701,12872,0.05,W,1,0
702,12873,0.05,W,1,0
703,12874,0.05,W,1,0
704,12875,0.05,W,1,0
705,12876,0.05,W,1,0
706,12877,0.05,W,1,0
707,12878,0.05,W,1,0
708,12879,0.05,W,1,0
709,12880,0.05,W,1,0
710,12881,0.05,W,1,0
711,12882,0.05,W,1,0
712,12883,0.05,W,1,0
713,12884,0.05,W,1,0
714,12885,0.05,W,1,0
715,12886,0.05,W,1,0
716,12887,0.05,W,1,0
717,12888,0.05,W,1,0
718,12889,0.05,W,1,0
719,12890,0.05,W,1,0
720,12891,0.05,W,1,0
721,12892,0.05,W,1,0
722,12893,0.05,W,1,0
723,12894,0.05,W,1,0
724,12895,0.05,W,1,0
725,12896,0.05,W,1,0
726,12897,0.05,W,1,0
727,12898,0.05,W,1,0
728,12899,0.05,W,1,0
729,12900,0.05,W,1,0
730,12901,0.05,W,1,0
731,12902,0.05,W,1,0
732,12903,0.05,W,1,0
733,12904,0.05,W,1,0
734,12905,0.05,W,1,0
735,12906,0.05,W,1,0
736,12907,0.05,W,1,0
737,12908,0.05,W,1,0
738,12909,0.05,W,1,0
739,12910,0.05,W,1,0
740,12911,0.05,W,1,0
741,12912,0.05,W,1,0
742,12913,0.05,W,1,0
743,12914,0.05,W,1,0
744,12915,0.05,W,1,0
745,12916,0.05,W,1,0
746,12917,0.05,W,1,0
747,12918,0.05,W,1,0
748,12919,0.05,W,1,0
749,12920,0.05,W,1,0
750,12921,0.05,W,1,0
751,12922,0.05,W,1,0
752,12923,0.05,W,1,0
753,12924,0.05,W,1,0
754,12925,0.05,W,1,0
755,12926,0.05,W,1,0
756,12927,0.05,W,1,0
757,12928,0.05,W,1,0
758,12929,0.05,W,1,0
759,12930,0.05,W,1,0
760,12931,0.05,W,1,0
761,12932,0.05,W,1,0
762,12933,0.05,W,1,0
763,12934,0.05,W,1,0
764,12935,0.05,W,1,0
765,12936,0.05,W,1,0
766,12937,0.05,W,1,0
767,12938,0.05,W,1,0
768,12939,0.05,W,1,0
769,12940,0.05,W,1,0
770,12941,0.05,W,1,0
771,12942,0.05,W,1,0
772,12943,0.05,W,1,0
773,12944,0.05,W,1,0
774,12945,0.05,W,1,0
775,12946,0.05,W,1,0
776,12947,0.05,W,1,0
777,12948,0.05,W,1,0
778,12949,0.05,W,1,0
779,12950,0.05,W,1,0
780,12951,0.05,W,1,0
781,12952,0.05,W,1,0
782,12953,0.05,W,1,0
783,12954,0.05,W,1,0
784,12955,0.05,W,1,0
785,12956,0.05,W,1,0
786,12957,0.05,W,1,0
787,12958,0.05,W,1,0
788,12959,0.05,W,1,0
789,12960,0.05,W,1,0
790,12961,0.05,W,1,0
791,12962,0.05,W,1,0
792,12963,0.05,W,1,0
793,12964,0.05,W,1,0
794,12965,0.05,W,1,0
795,12966,0.05,W,1,0
796,12967,0.05,W,1,0
797,12968,0.05,W,1,0
798,12969,0.05,W,1,0
799,12970,0.05,W,1,0
800,12971,0.05,W,1,0
801,12972,0.05,W,1,0
802,12973,0.05,W,1,0
803,12974,0.05,W,1,0
804,12975,0.05,W,1,0
805,12976,0.05,W,1,0
806,12977,0.05,W,1,0
807,12978,0.05,W,1,0
808,12979,0.05,W,1,0
809,12980,0.05,W,1,0
810,12981,0.05,W,1,0
811,12982,0.05,W,1,0
812,12983,0.05,W,1,0
813,12984,0.05,W,1,0
814,12985,0.05,W,1,0
815,12986,0.05,W,1,0
816,12987,0.05,W,1,0
817,12988,0.05,W,1,0
818,12989,0.05,W,1,0
819,12990,0.05,W,1,0
820,12991,0.05,W,1,0
821,12992,0.05,W,1,0
822,12993,0.05,W,1,0
823,12994,0.05,W,1,0
824,12995,0.05,W,1,0
825,12996,0.05,W,1,0
826,12997,0.05,W,1,0
827,12998,0.05,W,1,0
828,12999,0.05,W,1,0
829,13000,0.05,W,1,0
830,13001,0.05,W,1,0
831,13002,0.05,W,1,0
832,13003,0.05,W,1,0
833,13004,0.05,W,1,0
834,13005,0.05,W,1,0
835,13006,0.05,W,1,0
836,13007,0.05,W,1,0
837,13008,0.05,W,1,0
838,13009,0.05,W,1,0
839,13010,0.05,W,1,0
840,13011,0.05,W,1,0
841,13012,0.05,W,1,0
842,13013,0.05,W,1,0
843,13014,0.05,W,1,0
844,13015,0.05,W,1,0
845,13016,0.05,W,1,0
846,13017,0.05,W,1,0
847,13018,0.05,W,1,0
848,13019,0.05,W,1,0
849,13020,0.05,W,1,0
850,13021,0.05,W,1,0
851,13022,0.05,W,1,0
852,13023,0.05,W,1,0
853,13024,0.05,W,1,0
854,13025,0.05,W,1,0
855,13026,0.05,W,1,0
856,13027,0.05,W,1,0
857,13028,0.05,W,1,0
858,13029,0.05,W,1,0
859,13030,0.05,W,1,0
860,13031,0.05,W,1,0
861,13032,0.05,W,1,0
862,13033,0.05,W,1,0
863,13034,0.05,W,1,0
864,13035,0.05,W,1,0
865,13036,0.05,W,1,0
866,13037,0.05,W,1,0
867,13038,0.05,W,1,0
868,13039,0.05,W,1,0
869,13040,0.05,W,1,0
870,13041,0.05,W,1,0
871,13042,0.05,W,1,0
872,13043,0.05,W,1,0
873,13044,0.05,W,1,0
874,13045,0.05,W,1,0
875,13046,0.05,W,1,0
876,13047,0.05,W,1,0
877,13048,0.05,W,1,0
878,13049,0.05,W,1,0
879,13050,0.05,W,1,0
880,13051,0.05,W,1,0
881,13052,0.05,W,1,0
882,13053,0.05,W,1,0
883,13054,0.05,W,1,0
884,13055,0.05,W,1,0
885,13056,0.05,W,1,0
886,13057,0.05,W,1,0
887,13058,0.05,W,1,0
888,13059,0.05,W,1,0
889,13060,0.05,W,1,0
890,13061,0.05,W,1,0
891,13062,0.05,W,1,0
892,13063,0.05,W,1,0
893,13064,0.05,W,1,0
894,13065,0.05,W,1,0
895,13066,0.05,W,1,0
896,13067,0.05,W,1,0
897,13068,0.05,W,1,0
898,13069,0.05,W,1,0
899,13070,0.05,W,1,0
900,13071,0.05,W,1,0
901,13072,0.05,W,1,0
902,13073,0.05,W,1,0
903,13074,0.05,W,1,0
904,13075,0.05,W,1,0
905,13076,0.05,W,1,0
906,13077,0.05,W,1,0
907,13078,0.05,W,1,0
908,13079,0.05,W,1,0
909,13080,0.05,W,1,0
910,13081,0.05,W,1,0
911,13082,0.05,W,1,0
912,13083,0.05,W,1,0
913,13084,0.05,W,1,0
914,13085,0.05,W,1,0
915,13086,0.05,W,1,0
916,13087,0.05,W,1,0
917,13088,0.05,W,1,0
918,13089,0.05,W,1,0
919,13090,0.05,W,1,0
920,13091,0.05,W,1,0
921,13092,0.05,W,1,0
922,13093,0.05,W,1,0
923,13094,0.05,W,1,0
924,13095,0.05,W,1,0
925,13096,0.05,W,1,0
926,13097,0.05,W,1,0
927,13098,0.05,W,1,0
928,13099,0.05,W,1,0
929,13100,0.05,W,1,0
930,13101,0.05,W,1,0
